Configuration,Weak_Pareto_Count,Total_Transitions,Rate_Percent,Strict_Pareto_Count,Distance_From_Reference
"Baseline (200r, 12a, 500c, 100$)",76,199,38.19,0,0.000056
"Initial currency = 50",120,199,60.30,0,0.221049
"Initial currency = 200",40,199,20.10,0,0.180961
"Initial currency = 500",13,199,6.53,0,0.316639
"Initial currency = 1000",3,199,1.51,0,0.366891
"Pool size = 200",0,199,0.00,0,0.381966
"Pool size = 1000",129,199,64.82,0,0.266275
"Pool size = 2000",117,199,58.79,0,0.205974
"Agent count = 8 (2 per strat)",93,199,46.73,0,0.085371
"Agent count = 16 (4 per strat)",63,199,31.66,0,0.065383
"Agent count = 24 (6 per strat)",0,199,0.00,0,0.381966
"Rounds = 100",15,99,15.15,0,0.230451
"Rounds = 500",107,499,21.44,0,0.167537
"Rounds = 1000",107,999,10.71,0,0.274859
"All Conservative (12)",0,199,0.00,0,0.381966
"All Aggressive (12)",0,199,0.00,0,0.381966
"All Adaptive (12)",0,199,0.00,0,0.381966
"All Sacrifice50 (12)",146,199,73.37,0,0.351702
"Equal mix (3+3+3+3)",78,199,39.20,0,0.009994
"Heavy Aggressive (6A+2C+2D+2S)",78,199,39.20,0,0.009994
"Heavy Conservative (6C+2A+2D+2S)",61,199,30.65,0,0.075433
"A vs C only (6+6)",1,199,0.50,0,0.376941
"Rounds=150",47,149,31.54,0,0.066530
"Rounds=175",62,174,35.63,0,0.025644
"Rounds=200",76,199,38.19,0,0.000056
"Rounds=225",86,224,38.39,0,0.001963
"Rounds=250",95,249,38.15,0,0.000440
"Currency=$80",101,199,50.75,0,0.125572
"Currency=$90",87,199,43.72,0,0.055220
"Currency=$100",76,199,38.19,0,0.000056
"Currency=$110",66,199,33.17,0,0.050308
"Currency=$120",58,199,29.15,0,0.090509
"Currency=$130",53,199,26.63,0,0.115634
"Currency=$140",52,199,26.13,0,0.120659
"Currency=$150",62,199,31.16,0,0.070408
"Pool=400",67,199,33.67,0,0.045283
"Pool=450",71,199,35.68,0,0.025182
"Pool=500",76,199,38.19,0,0.000056
"Pool=550",81,199,40.70,0,0.025069
"Pool=600",91,199,45.73,0,0.075320
"Pool=650",86,199,43.22,0,0.050195
"Pool=700",83,199,41.71,0,0.035119
"Mix C3/A3/D3/S3",78,199,39.20,0,0.009994
"Mix C4/A4/D2/S2",75,199,37.69,0,0.005082
"Mix C2/A2/D4/S4",87,199,43.72,0,0.055220
"Mix C3/A4/D3/S2",75,199,37.69,0,0.005082
"Mix C4/A3/D2/S3",78,199,39.20,0,0.009994
"Mix C2/A4/D3/S3",81,199,40.70,0,0.025069
"Mix C3/A2/D4/S3",77,199,38.69,0,0.004969
"Mix C3/A3/D4/S2",75,199,37.69,0,0.005082
